Data;433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal;11753 - Índice da taxa de câmbio real (IPCA) - Jun/1994=100 - Dólar americano - Índice;20714 - Taxa média de juros das operações de crédito - Total - % a.a.;24363 - Índice de Atividade Econômica do Banco Central - IBC-Br - Índice;24369 - Taxa de desocupação - PNADC - %
05/1992;24,86 ;102,25 ;-;-;-
06/1992;20,21 ;102,29 ;-;-;-
07/1992;21,83 ;102,29 ;-;-;-
08/1992;22,14 ;102,48 ;-;-;-
09/1992;24,63 ;101,86 ;-;-;-
10/1992;25,24 ;102,03 ;-;-;-
11/1992;22,49 ;104,60 ;-;-;-
12/1992;25,24 ;102,87 ;-;-;-
01/1993;30,35 ;99,99 ;-;-;-
02/1993;24,98 ;102,04 ;-;-;-
03/1993;27,26 ;101,18 ;-;-;-
04/1993;27,75 ;101,55 ;-;-;-
05/1993;27,69 ;102,67 ;-;-;-
06/1993;30,07 ;102,66 ;-;-;-
07/1993;30,72 ;102,48 ;-;-;-
08/1993;32,96 ;101,88 ;-;-;-
09/1993;35,69 ;101,10 ;-;-;-
10/1993;33,92 ;103,10 ;-;-;-
11/1993;35,56 ;103,58 ;-;-;-
12/1993;36,84 ;102,76 ;-;-;-
01/1994;41,31 ;102,01 ;-;-;-
02/1994;40,27 ;102,83 ;-;-;-
03/1994;42,75 ;100,80 ;-;-;-
04/1994;42,68 ;102,19 ;-;-;-
05/1994;44,03 ;101,45 ;-;-;-
06/1994;47,43 ;100,00 ;-;-;-
07/1994;6,84 ;87,56 ;-;-;-
08/1994;1,86 ;83,17 ;-;-;-
09/1994;1,53 ;79,03 ;-;-;-
10/1994;2,62 ;75,37 ;-;-;-
11/1994;2,81 ;73,06 ;-;-;-
12/1994;1,71 ;72,51 ;-;-;-
01/1995;1,70 ;71,33 ;-;-;-
02/1995;1,02 ;70,39 ;-;-;-
03/1995;1,55 ;73,52 ;-;-;-
04/1995;2,43 ;73,55 ;-;-;-
05/1995;2,67 ;70,91 ;-;-;-
06/1995;2,26 ;70,80 ;-;-;-
07/1995;2,36 ;70,30 ;-;-;-
08/1995;0,99 ;70,77 ;-;-;-
09/1995;0,99 ;71,03 ;-;-;-
10/1995;1,41 ;70,79 ;-;-;-
11/1995;1,47 ;70,01 ;-;-;-
12/1995;1,56 ;69,17 ;-;-;-
01/1996;1,34 ;69,16 ;-;-;-
02/1996;1,03 ;69,10 ;-;-;-
03/1996;0,35 ;69,57 ;-;-;-
04/1996;1,26 ;69,26 ;-;-;-
05/1996;1,22 ;68,91 ;-;-;-
06/1996;1,19 ;68,55 ;-;-;-
07/1996;1,11 ;68,31 ;-;-;-
08/1996;0,44 ;68,58 ;-;-;-
09/1996;0,15 ;69,09 ;-;-;-
10/1996;0,30 ;69,50 ;-;-;-
11/1996;0,32 ;69,77 ;-;-;-
12/1996;0,47 ;69,90 ;-;-;-
01/1997;1,18 ;69,68 ;-;-;-
02/1997;0,50 ;69,98 ;-;-;-
03/1997;0,51 ;70,29 ;-;-;-
04/1997;0,88 ;70,04 ;-;-;-
05/1997;0,41 ;70,20 ;-;-;-
06/1997;0,54 ;70,32 ;-;-;-
07/1997;0,22 ;70,65 ;-;-;-
08/1997;-0,02 ;71,27 ;-;-;-
09/1997;0,06 ;71,78 ;-;-;-
10/1997;0,23 ;72,22 ;-;-;-
11/1997;0,17 ;72,52 ;-;-;-
12/1997;0,43 ;72,53 ;-;-;-
01/1998;0,71 ;72,56 ;-;-;-
02/1998;0,46 ;72,83 ;-;-;-
03/1998;0,34 ;73,15 ;-;-;-
04/1998;0,24 ;73,59 ;-;-;-
05/1998;0,50 ;73,80 ;-;-;-
06/1998;0,02 ;74,30 ;-;-;-
07/1998;-0,12 ;74,92 ;-;-;-
08/1998;-0,51 ;76,06 ;-;-;-
09/1998;-0,22 ;76,92 ;-;-;-
10/1998;0,02 ;77,58 ;-;-;-
11/1998;-0,12 ;78,02 ;-;-;-
12/1998;0,33 ;78,48 ;-;-;-
01/1999;0,70 ;97,34 ;-;-;-
02/1999;1,05 ;122,89 ;-;-;-
03/1999;1,10 ;120,85 ;-;-;-
04/1999;0,56 ;108,11 ;-;-;-
05/1999;0,30 ;107,11 ;-;-;-
06/1999;0,19 ;112,11 ;-;-;-
07/1999;1,09 ;113,44 ;-;-;-
08/1999;0,56 ;118,13 ;-;-;-
09/1999;0,31 ;119,42 ;-;-;-
10/1999;1,19 ;122,67 ;-;-;-
11/1999;0,95 ;119,15 ;-;-;-
12/1999;0,60 ;113,09 ;-;-;-
01/2000;0,62 ;110,34 ;-;-;-
02/2000;0,13 ;109,10 ;-;-;-
03/2000;0,22 ;107,70 ;-;-;-
04/2000;0,42 ;108,93 ;-;-;-
05/2000;0,01 ;112,72 ;-;-;-
06/2000;0,23 ;111,84 ;-;-;-
07/2000;1,61 ;109,68 ;-;-;-
08/2000;1,31 ;108,95 ;-;-;-
09/2000;0,23 ;111,08 ;-;-;-
10/2000;0,14 ;113,56 ;-;-;-
11/2000;0,32 ;117,38 ;-;-;-
12/2000;0,59 ;117,54 ;-;-;-
01/2001;0,57 ;117,09 ;-;-;-
02/2001;0,46 ;119,85 ;-;-;-
03/2001;0,38 ;124,88 ;-;-;-
04/2001;0,58 ;130,83 ;-;-;-
05/2001;0,41 ;137,14 ;-;-;-
06/2001;0,52 ;141,33 ;-;-;-
07/2001;1,33 ;144,37 ;-;-;-
08/2001;0,70 ;145,96 ;-;-;-
09/2001;0,28 ;155,58 ;-;-;-
10/2001;0,83 ;157,73 ;-;-;-
11/2001;0,71 ;145,10 ;-;-;-
12/2001;0,65 ;133,41 ;-;-;-
01/2002;0,52 ;133,88 ;-;-;-
02/2002;0,36 ;136,27 ;-;-;-
03/2002;0,60 ;132,12 ;-;-;-
04/2002;0,80 ;130,33 ;-;-;-
05/2002;0,21 ;139,02 ;-;-;-
06/2002;0,42 ;151,56 ;-;-;-
07/2002;1,19 ;162,14 ;-;-;-
08/2002;0,65 ;171,29 ;-;-;-
09/2002;0,72 ;183,05 ;-;-;-
10/2002;1,31 ;206,11 ;-;-;-
11/2002;3,02 ;188,00 ;-;-;-
12/2002;2,10 ;186,27 ;-;-;-
01/2003;2,25 ;173,51 ;-;67,49271 ;-
02/2003;1,57 ;179,77 ;-;69,25682 ;-
03/2003;1,23 ;171,50 ;-;72,58714 ;-
04/2003;0,97 ;153,34 ;-;71,72667 ;-
05/2003;0,61 ;144,22 ;-;70,40022 ;-
06/2003;-0,15 ;141,04 ;-;69,19646 ;-
07/2003;0,20 ;140,75 ;-;72,33567 ;-
08/2003;0,34 ;146,80 ;-;71,22676 ;-
09/2003;0,78 ;142,26 ;-;72,20910 ;-
10/2003;0,29 ;138,72 ;-;73,74203 ;-
11/2003;0,34 ;140,40 ;-;71,56369 ;-
12/2003;0,52 ;140,07 ;-;70,00686 ;-
01/2004;0,76 ;136,19 ;-;69,20022 ;-
02/2004;0,61 ;139,84 ;-;69,80791 ;-
03/2004;0,47 ;138,89 ;-;78,60094 ;-
04/2004;0,37 ;138,85 ;-;75,35917 ;-
05/2004;0,51 ;148,25 ;-;74,42395 ;-
06/2004;0,71 ;149,04 ;-;75,10617 ;-
07/2004;0,91 ;143,11 ;-;78,24655 ;-
08/2004;0,69 ;140,62 ;-;77,67031 ;-
09/2004;0,33 ;135,23 ;-;76,65876 ;-
10/2004;0,44 ;133,55 ;-;76,43277 ;-
11/2004;0,69 ;129,60 ;-;76,92127 ;-
12/2004;0,86 ;124,90 ;-;75,50013 ;-
01/2005;0,58 ;123,29 ;-;72,66580 ;-
02/2005;0,59 ;118,92 ;-;73,00268 ;-
03/2005;0,61 ;124,02 ;-;81,01805 ;-
04/2005;0,87 ;118,03 ;-;78,86207 ;-
05/2005;0,49 ;111,59 ;-;77,81558 ;-
06/2005;-0,02 ;109,88 ;-;78,26147 ;-
07/2005;0,25 ;108,29 ;-;79,42442 ;-
08/2005;0,17 ;108,07 ;-;80,82760 ;-
09/2005;0,35 ;105,95 ;-;77,88041 ;-
10/2005;0,75 ;103,63 ;-;78,14453 ;-
11/2005;0,55 ;100,17 ;-;78,42779 ;-
12/2005;0,36 ;102,76 ;-;78,08966 ;-
01/2006;0,59 ;102,41 ;-;76,19632 ;-
02/2006;0,41 ;97,17 ;-;75,66551 ;-
03/2006;0,43 ;96,84 ;-;83,59438 ;-
04/2006;0,21 ;96,43 ;-;79,04486 ;-
05/2006;0,10 ;99,03 ;-;82,25831 ;-
06/2006;-0,21 ;102,64 ;-;80,30003 ;-
07/2006;0,19 ;100,05 ;-;83,81321 ;-
08/2006;0,05 ;98,67 ;-;84,97698 ;-
09/2006;0,21 ;98,57 ;-;81,57367 ;-
10/2006;0,33 ;96,79 ;-;83,75986 ;-
11/2006;0,31 ;96,78 ;-;83,29786 ;-
12/2006;0,48 ;96,10 ;-;81,63645 ;-
01/2007;0,44 ;95,46 ;-;80,57065 ;-
02/2007;0,44 ;93,66 ;-;79,54685 ;-
03/2007;0,37 ;93,83 ;-;87,81556 ;-
04/2007;0,25 ;91,65 ;-;84,43662 ;-
05/2007;0,28 ;89,67 ;-;86,96866 ;-
06/2007;0,28 ;87,34 ;-;85,89777 ;-
07/2007;0,24 ;84,90 ;-;89,74162 ;-
08/2007;0,47 ;88,08 ;-;90,58405 ;-
09/2007;0,18 ;85,18 ;-;86,50348 ;-
10/2007;0,30 ;80,69 ;-;90,66664 ;-
11/2007;0,38 ;79,47 ;-;88,35713 ;-
12/2007;0,74 ;79,55 ;-;85,93561 ;-
01/2008;0,54 ;78,99 ;-;85,53311 ;-
02/2008;0,49 ;76,77 ;-;85,56880 ;-
03/2008;0,48 ;76,16 ;-;90,54100 ;-
04/2008;0,55 ;75,37 ;-;90,88392 ;-
05/2008;0,79 ;74,14 ;-;90,49341 ;-
06/2008;0,74 ;72,47 ;-;91,66155 ;-
07/2008;0,53 ;71,24 ;-;95,83578 ;-
08/2008;0,28 ;71,69 ;-;93,96685 ;-
09/2008;0,26 ;79,70 ;-;93,07530 ;-
10/2008;0,45 ;94,83 ;-;93,21252 ;-
11/2008;0,36 ;96,67 ;-;87,44781 ;-
12/2008;0,28 ;100,79 ;-;83,45882 ;-
01/2009;0,48 ;97,09 ;-;80,85985 ;-
02/2009;0,55 ;97,26 ;-;80,90038 ;-
03/2009;0,20 ;97,35 ;-;89,71279 ;-
04/2009;0,48 ;92,59 ;-;86,40147 ;-
05/2009;0,47 ;86,35 ;-;87,32393 ;-
06/2009;0,36 ;82,43 ;-;88,16899 ;-
07/2009;0,24 ;81,06 ;-;92,25741 ;-
08/2009;0,15 ;77,45 ;-;91,74164 ;-
09/2009;0,24 ;76,25 ;-;91,11559 ;-
10/2009;0,28 ;72,70 ;-;92,99342 ;-
11/2009;0,41 ;71,95 ;-;90,98435 ;-
12/2009;0,37 ;72,56 ;-;90,70894 ;-
01/2010;0,75 ;73,48 ;-;88,30825 ;-
02/2010;0,78 ;75,46 ;-;89,57084 ;-
03/2010;0,52 ;73,10 ;-;100,68303 ;-
04/2010;0,57 ;71,62 ;-;96,07002 ;-
05/2010;0,43 ;73,66 ;-;95,82489 ;-
06/2010;0,00 ;73,32 ;-;95,52389 ;-
07/2010;0,01 ;71,83 ;-;99,41933 ;-
08/2010;0,04 ;71,49 ;-;99,35391 ;-
09/2010;0,45 ;69,56 ;-;97,88980 ;-
10/2010;0,75 ;67,71 ;-;97,79701 ;-
11/2010;0,83 ;68,37 ;-;98,04411 ;-
12/2010;0,63 ;67,27 ;-;95,94389 ;-
01/2011;0,83 ;66,30 ;-;93,11910 ;-
02/2011;0,80 ;65,83 ;-;95,58846 ;-
03/2011;0,79 ;65,60 ;27,35 ;101,73266 ;-
04/2011;0,77 ;62,65 ;27,94 ;98,18854 ;-
05/2011;0,47 ;63,72 ;27,86 ;100,53753 ;-
06/2011;0,15 ;62,51 ;27,62 ;99,49650 ;-
07/2011;0,16 ;61,56 ;27,81 ;101,91540 ;-
08/2011;0,37 ;62,80 ;27,23 ;103,53861 ;-
09/2011;0,53 ;68,38 ;27,20 ;99,88691 ;-
10/2011;0,43 ;68,99 ;27,45 ;99,68521 ;-
11/2011;0,52 ;69,16 ;26,66 ;99,58094 ;-
12/2011;0,50 ;70,55 ;25,82 ;97,73043 ;-
01/2012;0,56 ;68,65 ;26,80 ;93,59296 ;-
02/2012;0,45 ;65,85 ;26,86 ;95,00497 ;-
03/2012;0,21 ;69,24 ;26,54 ;102,72527 ;8,0
04/2012;0,64 ;71,17 ;25,96 ;98,16376 ;7,8
05/2012;0,36 ;75,78 ;24,36 ;101,46943 ;7,7
06/2012;0,08 ;78,16 ;23,62 ;99,86748 ;7,6
07/2012;0,43 ;76,97 ;23,03 ;103,50512 ;7,5
08/2012;0,41 ;77,11 ;22,54 ;105,22389 ;7,3
09/2012;0,57 ;76,99 ;22,30 ;99,39013 ;7,1
10/2012;0,59 ;76,56 ;21,72 ;103,67915 ;6,9
11/2012;0,60 ;77,08 ;21,47 ;101,18533 ;6,8
12/2012;0,79 ;76,71 ;20,39 ;97,92988 ;6,9
01/2013;0,86 ;74,58 ;20,84 ;97,79238 ;7,2
02/2013;0,60 ;72,56 ;21,18 ;95,55762 ;7,8
03/2013;0,47 ;72,85 ;20,93 ;103,89182 ;8,0
04/2013;0,55 ;73,03 ;20,83 ;105,14305 ;7,9
05/2013;0,37 ;74,12 ;20,57 ;103,20205 ;7,6
06/2013;0,26 ;79,09 ;20,85 ;101,69049 ;7,5
07/2013;0,03 ;81,99 ;21,28 ;106,78091 ;7,4
08/2013;0,24 ;85,16 ;21,46 ;106,55763 ;7,2
09/2013;0,35 ;82,36 ;21,61 ;103,37112 ;7,0
10/2013;0,57 ;78,74 ;21,98 ;106,62486 ;6,8
11/2013;0,54 ;82,02 ;22,21 ;103,73711 ;6,5
12/2013;0,92 ;83,00 ;21,87 ;102,32062 ;6,2
01/2014;0,55 ;84,08 ;22,84 ;100,17610 ;6,5
02/2014;0,69 ;83,92 ;23,38 ;100,74587 ;6,8
03/2014;0,92 ;81,69 ;23,53 ;104,60675 ;7,2
04/2014;0,67 ;78,18 ;23,41 ;103,66934 ;7,2
05/2014;0,46 ;77,65 ;23,59 ;103,28322 ;7,0
06/2014;0,40 ;78,00 ;23,46 ;98,88908 ;6,9
07/2014;0,01 ;77,55 ;23,70 ;105,18232 ;7,0
08/2014;0,25 ;78,74 ;23,61 ;104,07663 ;7,0
09/2014;0,57 ;80,59 ;23,26 ;103,97002 ;6,8
10/2014;0,42 ;84,01 ;23,79 ;105,08080 ;6,7
11/2014;0,51 ;86,53 ;23,87 ;101,72305 ;6,6
12/2014;0,78 ;88,49 ;23,39 ;102,11320 ;6,6
01/2015;1,24 ;86,79 ;24,60 ;97,57691 ;6,9
02/2015;1,22 ;92,12 ;25,32 ;96,03743 ;7,5
03/2015;1,32 ;101,87 ;25,51 ;104,95041 ;8,0
04/2015;0,71 ;98,41 ;26,13 ;99,98713 ;8,1
05/2015;0,74 ;98,51 ;26,73 ;98,07784 ;8,2
06/2015;0,79 ;99,80 ;27,25 ;97,17881 ;8,4
07/2015;0,62 ;102,73 ;28,05 ;100,45103 ;8,6
08/2015;0,22 ;111,61 ;28,55 ;98,77738 ;8,8
09/2015;0,54 ;123,05 ;29,06 ;96,88151 ;9,0
10/2015;0,82 ;121,12 ;29,85 ;98,36907 ;9,1
11/2015;1,01 ;116,78 ;30,13 ;95,53474 ;9,1
12/2015;0,96 ;118,15 ;29,38 ;95,64529 ;9,1
01/2016;1,27 ;122,00 ;31,03 ;90,36460 ;9,6
