Data;433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal;11753 - Índice da taxa de câmbio real (IPCA) - Jun/1994=100 - Dólar americano - Índice;20714 - Taxa média de juros das operações de crédito - Total - % a.a.;24363 - Índice de Atividade Econômica do Banco Central - IBC-Br - Índice;24369 - Taxa de desocupação - PNADC - %
11/2022;0,41 ;141,25 ;30,55 ;98,94810 ;8,1
12/2022;0,62 ;139,21 ;29,68 ;99,84236 ;7,9
01/2023;0,53 ;138,47 ;30,54 ;95,33853 ;8,4
02/2023;0,84 ;137,40 ;30,48 ;98,66500 ;8,6
03/2023;0,71 ;137,85 ;30,99 ;110,74991 ;8,8
04/2023;0,61 ;132,75 ;31,62 ;103,93605 ;8,5
05/2023;0,23 ;131,72 ;31,63 ;102,77821 ;8,3
06/2023;-0,08 ;128,82 ;30,84 ;102,19056 ;8,0
07/2023;0,12 ;127,49 ;30,43 ;105,39510 ;7,9
08/2023;0,23 ;130,49 ;29,91 ;106,08791 ;7,8
09/2023;0,26 ;131,41 ;29,66 ;101,78245 ;7,7
10/2023;0,24 ;134,37 ;29,24 ;101,94681 ;7,6
11/2023;0,28 ;129,45 ;29,01 ;101,61883 ;7,5
12/2023;0,56 ;128,42 ;28,13 ;101,62388 ;7,4
01/2024;0,42 ;129,00 ;27,99 ;99,37657 ;7,6
02/2024;0,83 ;130,14 ;27,84 ;102,27501 ;7,8
03/2024;0,16 ;131,19 ;28,13 ;109,77135 ;7,9
04/2024;0,38 ;135,10 ;27,86 ;109,30206 ;7,5
05/2024;0,46 ;134,93 ;27,74 ;104,71039 ;7,1
06/2024;0,21 ;141,28 ;27,81 ;105,79697 ;6,9
07/2024;0,38 ;144,91 ;27,74 ;111,65413 ;6,8
08/2024;-0,02 ;145,34 ;27,59 ;110,15021 ;6,6
09/2024;0,44 ;144,64 ;27,48 ;107,12703 ;6,4
10/2024;0,56 ;145,77 ;27,93 ;109,18500 ;6,2
11/2024;0,39 ;150,24 ;28,44 ;105,40008 ;6,1
12/2024;0,52 ;156,98 ;28,50 ;104,09785 ;6,2
01/2025;0,16 ;155,81 ;29,86 ;102,93796 ;6,5
02/2025;1,31 ;147,90 ;30,42 ;106,86305 ;6,8
03/2025;0,56 ;146,94 ;31,16 ;114,00139 ;7,0
04/2025;0,43 ;147,70 ;31,41 ;112,41307 ;6,6
05/2025;0,26 ;144,60 ;31,59 ;108,58398 ;6,2
06/2025;0,24 ;141,65 ;31,71 ;107,20683 ;5,8
07/2025;0,26 ;140,92 ;31,58 ;113,06029 ;5,6
08/2025;-0,11 ;139,57 ;31,70 ;110,37876 ;5,6
09/2025;0,48 ;137,28 ;31,36 ;109,24425 ;5,6
10/2025;0,09 ;-;-;-;-
Fonte;IBGE;BCB-DSTAT;BCB-DSTAT;BCB-Depec;IBGE
